kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ispass-2009-BFS.5.sm_62.ptx 100 : 393216 2068898 0 0 0 0 0 0 29042 
ispass-2009-BFS.5.sm_62.ptx 99 : 393216 2890132 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 98 : 393216 3635916 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 97 : 393216 4042498 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 96 : 393216 4437251 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 93 : 126844 138971078 224 0 0 110115 48745 0 0 
ispass-2009-BFS.5.sm_62.ptx 92 : 126844 136882380 44992 0 0 110115 48745 0 0 
ispass-2009-BFS.5.sm_62.ptx 91 : 126844 2807101 0 0 0 48745 48745 0 0 
ispass-2009-BFS.5.sm_62.ptx 90 : 126844 2779375 0 0 0 126762 48745 0 0 
ispass-2009-BFS.5.sm_62.ptx 89 : 126844 1423198 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 88 : 126844 2420283 0 0 0 126815 48745 0 0 
ispass-2009-BFS.5.sm_62.ptx 87 : 126844 1373416 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 86 : 126844 1195468 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 85 : 126844 1309027 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 84 : 126844 34256472 85312 0 0 93099 48745 0 0 
ispass-2009-BFS.5.sm_62.ptx 82 : 393216 1340008 0 0 0 0 0 0 30393 
ispass-2009-BFS.5.sm_62.ptx 81 : 393216 2392047 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 80 : 393216 371878738 0 0 0 392389 73417 0 0 
ispass-2009-BFS.5.sm_62.ptx 79 : 393216 3553232 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 78 : 393216 2388950 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 77 : 393216 301321949 272576 0 0 367332 73417 0 0 
ispass-2009-BFS.5.sm_62.ptx 74 : 65536 393237 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 73 : 65536 393238 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 72 : 65536 589842 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 71 : 65536 589831 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 70 : 65536 393216 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 69 : 65536 42219641 0 0 0 38821 8358 0 0 
ispass-2009-BFS.5.sm_62.ptx 47 : 655360 6708416 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 46 : 655360 4892160 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 45 : 655360 4868544 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 43 : 655360 0 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 42 : 655360 5619424 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 41 : 655360 7217248 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 40 : 655360 4474464 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 39 : 655360 4570784 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 38 : 655360 18266176 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 37 : 655360 10444160 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 32 : 655360 9238848 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 31 : 655360 8633536 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 68 : 65536 589830 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 33 : 655360 10261504 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 34 : 655360 10353152 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 35 : 655360 10485760 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 36 : 655360 10485760 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 48 : 655360 143094112 0 0 0 20480 20480 0 0 
ispass-2009-BFS.5.sm_62.ptx 49 : 655360 4057408 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 50 : 655360 3164176 0 0 0 0 0 0 8358 
ispass-2009-BFS.5.sm_62.ptx 103 : 655360 3299840 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 66 : 65536 393221 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 52 : 65536 409396 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 53 : 65536 1127250 0 0 0 8358 8358 0 0 
ispass-2009-BFS.5.sm_62.ptx 54 : 65536 505911 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 55 : 65536 662641 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 56 : 65536 436950 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 57 : 65536 1483214 0 0 0 8358 8358 0 0 
ispass-2009-BFS.5.sm_62.ptx 58 : 65536 537999 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 59 : 65536 666081 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 60 : 65536 676364 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 61 : 65536 713302 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 62 : 65536 32724033 61632 0 0 38821 8358 0 0 
ispass-2009-BFS.5.sm_62.ptx 63 : 65536 393228 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 64 : 65536 0 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 67 : 65536 589831 0 0 0 0 0 0 0 
